Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus
rad/s,s,Celsius,%,MPa,,MPa,MPa
6.28319,1183.00,51.64,0.0915952,1.56202,0.0343132,1704.35,58.4819
6.28319,1186.00,51.71,0.0916060,1.56182,0.0343278,1703.92,58.4920
6.28319,1189.00,51.90,0.0915921,1.56119,0.0343305,1703.50,58.4820
6.28319,1192.00,52.03,0.0915986,1.56080,0.0343742,1702.95,58.5375
6.28319,1195.00,52.23,0.0916045,1.56055,0.0344346,1702.57,58.6273
6.28319,1198.00,52.39,0.0915956,1.56006,0.0343741,1702.20,58.5115
6.28319,1201.00,52.58,0.0915961,1.55961,0.0343739,1701.70,58.4941
6.28319,1204.00,52.76,0.0916050,1.55923,0.0343616,1701.12,58.4531
6.28319,1207.00,52.91,0.0915944,1.55856,0.0343370,1700.59,58.3931
6.28319,1210.00,53.05,0.0915957,1.55807,0.0343556,1700.02,58.4053
6.28319,1213.00,53.18,0.0916017,1.55764,0.0343717,1699.45,58.4129
6.28319,1216.00,53.30,0.0915968,1.55708,0.0343826,1698.93,58.4136
6.28319,1219.00,53.43,0.0915970,1.55660,0.0344093,1698.39,58.4406
6.28319,1222.00,53.56,0.0915996,1.55615,0.0344082,1697.86,58.4201
6.28319,1225.00,53.72,0.0915989,1.55564,0.0344349,1697.31,58.4465
6.28319,1228.00,53.89,0.0915986,1.55514,0.0344552,1696.77,58.4626
6.28319,1231.00,54.05,0.0915967,1.55458,0.0344701,1696.20,58.4680
6.28319,1234.00,54.24,0.0916031,1.55419,0.0344634,1695.65,58.4377
6.28319,1237.00,54.41,0.0915925,1.55349,0.0344799,1695.08,58.4463
6.28319,1240.00,54.59,0.0916029,1.55309,0.0345169,1694.45,58.4873
6.28319,1243.00,54.74,0.0916010,1.55256,0.0345020,1693.90,58.4430
6.28319,1246.00,54.89,0.0915931,1.55191,0.0345304,1693.34,58.4719
6.28319,1249.00,55.01,0.0916016,1.55149,0.0345679,1692.73,58.5139
6.28319,1252.00,55.14,0.0916022,1.55104,0.0345924,1692.22,58.5381
6.28319,1255.00,55.27,0.0915932,1.55038,0.0346033,1691.67,58.5374
6.28319,1258.00,55.43,0.0916025,1.54996,0.0346553,1691.04,58.6034
6.28319,1261.00,55.56,0.0916055,1.54948,0.0346589,1690.46,58.5895
6.28319,1264.00,55.69,0.0915917,1.54869,0.0346774,1689.85,58.5995
6.28319,1267.00,55.84,0.0916019,1.54828,0.0347368,1689.21,58.6777
6.28319,1270.00,56.04,0.0916047,1.54777,0.0347566,1688.60,58.6901
6.28319,1273.00,56.20,0.0915933,1.54700,0.0347826,1687.96,58.7118
6.28319,1276.00,56.31,0.0916056,1.54657,0.0347722,1687.27,58.6701
6.28319,1279.00,56.29,0.0915993,1.54593,0.0347775,1686.69,58.6587
6.28319,1282.00,56.46,0.0915929,1.54522,0.0348139,1686.04,58.6975
6.28319,1285.00,56.66,0.0916087,1.54486,0.0348500,1685.34,58.7342
6.28319,1288.00,56.91,0.0915990,1.54418,0.0348645,1684.78,58.7390
6.28319,1291.00,57.14,0.0915960,1.54346,0.0349017,1684.04,58.7760
6.28319,1294.00,57.23,0.0916083,1.54302,0.0349136,1683.34,58.7716
6.28319,1297.00,57.06,0.0915925,1.54216,0.0348686,1682.69,58.6732
6.28319,1300.00,57.40,0.0915970,1.54128,0.0349959,1681.65,58.8508
6.28319,1303.00,57.59,0.0916292,1.54118,0.0350056,1680.94,58.8422
6.28319,1306.00,57.90,0.0915820,1.53983,0.0349520,1680.34,58.7312
6.28319,1309.00,57.97,0.0915985,1.53921,0.0350730,1679.36,58.9003
6.28319,1312.00,57.76,0.0916199,1.53907,0.0349582,1678.82,58.6885
6.28319,1315.00,58.24,0.0915666,1.53728,0.0350313,1677.84,58.7769
6.28319,1318.00,58.41,0.0916419,1.53759,0.0351565,1676.79,58.9502
6.28319,1321.00,58.69,0.0916091,1.53677,0.0351080,1676.50,58.8585
6.28319,1324.00,58.45,0.0915655,1.53522,0.0350637,1675.61,58.7529
6.28319,1327.00,58.78,0.0916289,1.53541,0.0351138,1674.65,58.8033
6.28319,1330.00,59.09,0.0916030,1.53421,0.0351435,1673.82,58.8238
6.28319,1333.00,59.33,0.0915952,1.53328,0.0352014,1672.94,58.8900
6.28319,1336.00,59.29,0.0916119,1.53279,0.0352478,1672.10,58.9378
6.28319,1339.00,59.14,0.0915896,1.53171,0.0351947,1671.33,58.8218
6.28319,1342.00,59.65,0.0915998,1.53076,0.0353446,1670.10,59.0291
6.28319,1345.00,59.86,0.0916421,1.53075,0.0353464,1669.31,59.0042
6.28319,1348.00,60.19,0.0915737,1.52901,0.0353181,1668.66,58.9340
6.28319,1351.00,59.72,0.0915938,1.52834,0.0354274,1667.56,59.0773
6.28319,1354.00,60.12,0.0916245,1.52821,0.0354038,1666.86,59.0131
6.28319,1357.00,60.54,0.0915817,1.52653,0.0355292,1665.80,59.1847
6.28319,1360.00,60.79,0.0916343,1.52662,0.0355652,1664.94,59.2138
6.28319,1363.00,60.93,0.0915850,1.52508,0.0355442,1664.15,59.1509
6.28319,1366.00,60.30,0.0915996,1.52419,0.0356562,1662.91,59.2931
6.28319,1369.00,60.88,0.0916172,1.52365,0.0356556,1662.00,59.2597
6.28319,1372.00,61.12,0.0916047,1.52241,0.0358732,1660.86,59.5803
6.28319,1375.00,61.60,0.0916289,1.52224,0.0358224,1660.24,59.4739
6.28319,1378.00,61.21,0.0915669,1.52037,0.0358312,1659.33,59.4558
6.28319,1381.00,61.15,0.0916045,1.51991,0.0358529,1658.14,59.4492
6.28319,1384.00,61.68,0.0916274,1.51912,0.0360346,1656.85,59.7040
6.28319,1387.00,62.14,0.0916253,1.51832,0.0360423,1656.02,59.6868
6.28319,1390.00,62.32,0.0915760,1.51663,0.0360665,1655.07,59.6927
6.28319,1393.00,61.79,0.0916051,1.51609,0.0360999,1653.95,59.7073
6.28319,1396.00,62.38,0.0916153,1.51519,0.0361691,1652.78,59.7797
6.28319,1399.00,62.69,0.0916122,1.51398,0.0362575,1651.52,59.8798
6.28319,1402.00,62.91,0.0916261,1.51339,0.0362747,1650.62,59.8756
6.28319,1405.00,62.04,0.0915746,1.51159,0.0361800,1649.59,59.6821
6.28319,1408.00,62.95,0.0915990,1.51063,0.0363398,1648.09,59.8913
6.28319,1411.00,63.34,0.0916604,1.51061,0.0364901,1646.95,60.0974
6.28319,1414.00,63.73,0.0915829,1.50880,0.0362266,1646.38,59.6429
6.28319,1417.00,63.91,0.0915618,1.50692,0.0365102,1644.70,60.0483
6.28319,1420.00,63.66,0.0916818,1.50787,0.0365784,1643.58,60.1197
6.28319,1423.00,63.98,0.0915666,1.50523,0.0364399,1642.77,59.8624
6.28319,1426.00,63.96,0.0915973,1.50447,0.0368232,1641.37,60.4405
6.28319,1429.00,63.73,0.0916727,1.50502,0.0365365,1640.64,59.9432
6.28319,1432.00,64.24,0.0915325,1.50159,0.0365696,1639.41,59.9524
6.28319,1435.00,64.05,0.0916551,1.50204,0.0368725,1637.68,60.3853
6.28319,1438.00,64.54,0.0916269,1.50100,0.0367256,1637.06,60.1222
6.28319,1441.00,64.25,0.0915391,1.49819,0.0369133,1635.56,60.3738
6.28319,1444.00,64.87,0.0916763,1.49910,0.0371007,1634.09,60.6257
6.28319,1447.00,64.63,0.0916034,1.49710,0.0370099,1633.20,60.4447
6.28319,1450.00,65.15,0.0915632,1.49494,0.0371907,1631.55,60.6787
6.28319,1453.00,65.02,0.0916696,1.49521,0.0374072,1629.95,60.9718
6.28319,1456.00,65.39,0.0915941,1.49316,0.0372229,1629.06,60.6385
6.28319,1459.00,65.36,0.0915635,1.49093,0.0375173,1627.16,61.0466
6.28319,1462.00,65.61,0.0916903,1.49172,0.0375362,1625.76,61.0250
6.28319,1465.00,65.61,0.0915700,1.48852,0.0375235,1624.41,60.9536
6.28319,1468.00,65.92,0.0916106,1.48746,0.0377077,1622.52,61.1817
6.28319,1471.00,65.90,0.0916567,1.48690,0.0378165,1621.10,61.3041
6.28319,1474.00,66.11,0.0915738,1.48438,0.0377317,1619.81,61.1180
6.28319,1477.00,66.35,0.0916089,1.48299,0.0380991,1617.66,61.6311
6.28319,1480.00,66.39,0.0916777,1.48297,0.0380169,1616.42,61.4512
6.28319,1483.00,66.70,0.0915398,1.47936,0.0380966,1614.91,61.5228
6.28319,1486.00,66.56,0.0916464,1.47932,0.0383262,1612.98,61.8193
6.28319,1489.00,67.03,0.0916414,1.47780,0.0384166,1611.40,61.9044
6.28319,1492.00,66.87,0.0915888,1.47529,0.0384836,1609.58,61.9425
6.28319,1495.00,67.38,0.0916259,1.47418,0.0387309,1607.71,62.2680
6.28319,1498.00,67.12,0.0916408,1.47286,0.0388033,1606.00,62.3180
6.28319,1501.00,67.68,0.0915859,1.47034,0.0388632,1604.21,62.3447
6.28319,1504.00,67.47,0.0916450,1.46909,0.0392034,1601.80,62.7959
6.28319,1507.00,67.99,0.0916441,1.46785,0.0390764,1600.47,62.5404
6.28319,1510.00,67.78,0.0915649,1.46439,0.0394040,1598.05,62.9694
6.28319,1513.00,68.25,0.0916812,1.46438,0.0394773,1596.01,63.0062
6.28319,1516.00,68.20,0.0915994,1.46135,0.0397115,1594.11,63.3045
6.28319,1519.00,68.56,0.0916179,1.46007,0.0396417,1592.40,63.1257
6.28319,1522.00,68.54,0.0916287,1.45815,0.0399101,1590.10,63.4613
6.28319,1525.00,68.79,0.0916453,1.45690,0.0398276,1588.45,63.2644
6.28319,1528.00,68.97,0.0915743,1.45360,0.0402080,1586.06,63.7724
6.28319,1531.00,69.05,0.0916861,1.45358,0.0402958,1584.10,63.8324
6.28319,1534.00,69.37,0.0915793,1.44987,0.0405521,1581.89,64.1489
6.28319,1537.00,69.28,0.0916446,1.44886,0.0407354,1579.64,64.3474
6.28319,1540.00,69.79,0.0916261,1.44661,0.0410298,1577.49,64.7242
6.28319,1543.00,69.57,0.0916293,1.44453,0.0411486,1575.16,64.8156
6.28319,1546.00,70.14,0.0916180,1.44221,0.0413720,1572.82,65.0705
6.28319,1549.00,69.87,0.0916478,1.44047,0.0416239,1570.38,65.3654
6.28319,1552.00,70.49,0.0916203,1.43798,0.0416678,1568.14,65.3412
6.28319,1555.00,70.21,0.0916221,1.43551,0.0420635,1565.39,65.8455
6.28319,1558.00,70.75,0.0916573,1.43421,0.0421139,1563.36,65.8394
6.28319,1561.00,70.61,0.0915894,1.43069,0.0424758,1560.66,66.2902
6.28319,1564.00,71.01,0.0916743,1.42999,0.0426271,1558.45,66.4321
6.28319,1567.00,71.04,0.0915990,1.42656,0.0429794,1555.97,66.8744
6.28319,1570.00,71.23,0.0916532,1.42528,0.0431496,1553.64,67.0390
6.28319,1573.00,71.45,0.0916124,1.42214,0.0435797,1550.87,67.5865
6.28319,1576.00,71.42,0.0916647,1.42083,0.0437656,1548.55,67.7732
6.28319,1579.00,71.87,0.0915995,1.41725,0.0441953,1545.72,68.3136
6.28319,1582.00,71.69,0.0916693,1.41591,0.0444756,1543.06,68.6285
6.28319,1585.00,72.24,0.0916204,1.41281,0.0447895,1540.48,68.9975
6.28319,1588.00,71.94,0.0916352,1.41040,0.0451492,1537.57,69.4203
6.28319,1591.00,72.58,0.0916538,1.40827,0.0454873,1534.92,69.8194
6.28319,1594.00,72.26,0.0916213,1.40536,0.0458735,1532.27,70.2904
6.28319,1597.00,72.86,0.0916371,1.40331,0.0462077,1529.75,70.6861
6.28319,1600.00,72.59,0.0916409,1.40091,0.0466305,1527.03,71.2062
6.28319,1603.00,73.10,0.0916455,1.39864,0.0469472,1524.46,71.5690
6.28319,1606.00,72.98,0.0916184,1.39550,0.0474426,1521.45,72.1816
6.28319,1609.00,73.32,0.0916740,1.39399,0.0478224,1518.86,72.6355
6.28319,1612.00,73.37,0.0916045,1.39017,0.0483011,1515.82,73.2156
6.28319,1615.00,73.52,0.0916673,1.38856,0.0487110,1512.99,73.6994
6.28319,1618.00,73.78,0.0916312,1.38530,0.0491947,1510.00,74.2838
6.28319,1621.00,73.69,0.0916415,1.38277,0.0495896,1507.04,74.7335
6.28319,1624.00,74.17,0.0916445,1.38008,0.0501448,1504.01,75.4184
6.28319,1627.00,73.93,0.0916498,1.37762,0.0505713,1501.22,75.9187
6.28319,1630.00,74.55,0.0916209,1.37450,0.0511361,1498.25,76.6144
6.28319,1633.00,74.20,0.0916673,1.37266,0.0516224,1495.44,77.1983
6.28319,1636.00,74.88,0.0916262,1.36932,0.0521556,1492.44,77.8390
6.28319,1639.00,74.46,0.0916484,1.36688,0.0527116,1489.37,78.5072
6.28319,1642.00,75.18,0.0916556,1.36430,0.0532400,1486.41,79.1362
6.28319,1645.00,74.80,0.0916284,1.36103,0.0537967,1483.23,79.7929
6.28319,1648.00,75.45,0.0916609,1.35870,0.0543528,1480.13,80.4493
6.28319,1651.00,75.17,0.0916454,1.35560,0.0548915,1476.95,81.0722
6.28319,1654.00,75.66,0.0916361,1.35272,0.0555064,1473.91,81.8116
6.28319,1657.00,75.56,0.0916578,1.35045,0.0560537,1471.05,82.4578
6.28319,1660.00,75.89,0.0916387,1.34747,0.0566125,1468.06,83.1107
6.28319,1663.00,75.98,0.0916360,1.34446,0.0572677,1464.77,83.8839
6.28319,1666.00,76.12,0.0916797,1.34235,0.0578425,1461.73,84.5499
6.28319,1669.00,76.37,0.0916146,1.33834,0.0585279,1458.34,85.3537
6.28319,1672.00,76.32,0.0916776,1.33627,0.0591444,1455.03,86.0571
6.28319,1675.00,76.76,0.0916477,1.33282,0.0598434,1451.68,86.8738
6.28319,1678.00,76.55,0.0916419,1.32964,0.0604908,1448.26,87.6066
6.28319,1681.00,77.12,0.0916625,1.32680,0.0612386,1444.78,88.4761
6.28319,1684.00,76.82,0.0916563,1.32376,0.0618977,1441.50,89.2258
6.28319,1687.00,77.46,0.0916308,1.32025,0.0626831,1438.02,90.1393
6.28319,1690.00,77.11,0.0916846,1.31804,0.0633994,1434.70,90.9590
6.28319,1693.00,77.79,0.0916354,1.31422,0.0641660,1431.24,91.8367
6.28319,1696.00,77.37,0.0916604,1.31133,0.0649473,1427.63,92.7208
6.28319,1699.00,78.08,0.0916717,1.30823,0.0657274,1424.01,93.5966
6.28319,1702.00,77.69,0.0916450,1.30449,0.0665324,1420.28,94.4944
6.28319,1705.00,78.37,0.0916666,1.30155,0.0674089,1416.66,95.4954
6.28319,1708.00,78.03,0.0916627,1.29835,0.0681565,1413.16,96.3161
6.28319,1711.00,78.65,0.0916418,1.29464,0.0690186,1409.37,97.2727
6.28319,1714.00,78.37,0.0916815,1.29188,0.0698892,1405.67,98.2413
6.28319,1717.00,78.92,0.0916576,1.28822,0.0707611,1401.96,99.2046
6.28319,1720.00,78.69,0.0916515,1.28450,0.0717062,1397.91,100.239
6.28319,1723.00,79.17,0.0916956,1.28155,0.0726131,1393.94,101.219
6.28319,1726.00,79.02,0.0916449,1.27714,0.0735732,1389.82,102.253
6.28319,1729.00,79.43,0.0916786,1.27382,0.0745548,1385.59,103.303
6.28319,1732.00,79.35,0.0916745,1.27004,0.0755524,1381.44,104.371
6.28319,1735.00,79.69,0.0916612,1.26606,0.0765910,1377.20,105.481
6.28319,1738.00,79.66,0.0916744,1.26247,0.0776545,1372.99,106.619
6.28319,1741.00,79.96,0.0916842,1.25888,0.0787369,1368.82,107.777
6.28319,1744.00,79.98,0.0916527,1.25454,0.0798888,1364.45,109.004
6.28319,1747.00,80.27,0.0917033,1.25142,0.0809558,1360.19,110.115
6.28319,1750.00,80.29,0.0916587,1.24664,0.0820625,1355.53,111.238
6.28319,1753.00,80.55,0.0916921,1.24283,0.0832637,1350.76,112.469
6.28319,1756.00,80.60,0.0916818,1.23847,0.0844781,1346.04,113.711
6.28319,1759.00,80.85,0.0916780,1.23416,0.0857499,1341.27,115.014
6.28319,1762.00,80.89,0.0916834,1.22997,0.0870436,1336.49,116.333
6.28319,1765.00,81.14,0.0916967,1.22579,0.0883508,1331.60,117.648
6.28319,1768.00,81.18,0.0916745,1.22096,0.0897142,1326.52,119.007
6.28319,1771.00,81.44,0.0917132,1.21686,0.0910874,1321.34,120.357
6.28319,1774.00,81.47,0.0916770,1.21164,0.0924781,1316.02,121.703
6.28319,1777.00,81.75,0.0917056,1.20716,0.0939414,1310.57,123.117
6.28319,1780.00,81.76,0.0916919,1.20219,0.0954225,1305.19,124.545
6.28319,1783.00,82.04,0.0916974,1.19754,0.0970135,1299.87,126.105
6.28319,1786.00,82.04,0.0916952,1.19279,0.0984999,1294.55,127.513
6.28319,1789.00,82.37,0.0917076,1.18784,0.100088,1288.81,128.994
6.28319,1792.00,82.32,0.0917050,1.18259,0.101707,1282.94,130.484
6.28319,1795.00,82.69,0.0917152,1.17734,0.103396,1276.88,132.024
6.28319,1798.00,82.60,0.0917017,1.17173,0.105135,1270.75,133.601
6.28319,1801.00,82.99,0.0917246,1.16649,0.106927,1264.53,135.212
6.28319,1804.00,82.87,0.0917022,1.16068,0.108775,1258.28,136.869
6.28319,1807.00,83.33,0.0917257,1.15542,0.110666,1252.01,138.554
6.28319,1810.00,83.14,0.0917103,1.14951,0.112571,1245.55,140.212
6.28319,1813.00,83.66,0.0917318,1.14388,0.114532,1238.89,141.892
6.28319,1816.00,83.42,0.0917197,1.13771,0.116512,1232.09,143.553
6.28319,1819.00,83.97,0.0917324,1.13168,0.118581,1225.09,145.272
6.28319,1822.00,83.73,0.0917230,1.12543,0.120664,1218.15,146.987
6.28319,1825.00,84.29,0.0917365,1.11934,0.122836,1211.07,148.763
6.28319,1828.00,84.02,0.0917219,1.11307,0.124990,1204.15,150.508
6.28319,1831.00,84.59,0.0917357,1.10695,0.127265,1197.02,152.339
6.28319,1834.00,84.36,0.0917344,1.10082,0.129341,1190.09,153.927
6.28319,1837.00,84.90,0.0917312,1.09400,0.131632,1182.42,155.644
6.28319,1840.00,84.74,0.0917508,1.08733,0.134004,1174.59,157.400
6.28319,1843.00,85.35,0.0917481,1.08052,0.136370,1166.90,159.130
6.28319,1846.00,86.24,0.0917249,1.07387,0.138769,1159.64,160.922
6.28319,1849.00,85.83,0.0917497,1.06741,0.141242,1151.95,162.704
6.28319,1852.00,86.64,0.0917223,1.06012,0.143816,1144.02,164.528
6.28319,1855.00,86.80,0.0918188,1.05356,0.146576,1135.30,166.408
6.28319,1858.00,87.13,0.0917067,1.04396,0.149653,1125.83,168.484
6.28319,1861.00,86.75,0.0918093,1.03696,0.152696,1116.53,170.490
6.28319,1864.00,86.63,0.0917584,1.02983,0.155189,1109.05,172.112
6.28319,1867.00,87.57,0.0917180,1.02302,0.157560,1101.81,173.601
6.28319,1870.00,87.33,0.0917123,1.01647,0.160039,1094.40,175.146
6.28319,1873.00,86.74,0.0917675,1.01074,0.162444,1087.16,176.603
6.28319,1876.00,86.77,0.0917289,1.00294,0.165162,1078.76,178.170
6.28319,1879.00,87.36,0.0917522,0.995115,0.168249,1069.54,179.948
6.28319,1882.00,87.10,0.0918380,0.987544,0.171481,1059.84,181.742
6.28319,1885.00,87.32,0.0916998,0.977086,0.175024,1049.57,183.700
6.28319,1888.00,87.09,0.0918611,0.970369,0.178447,1039.92,185.570
6.28319,1891.00,87.41,0.0917379,0.960521,0.181906,1030.12,187.385
