Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus
rad/s,s,Celsius,%,MPa,,MPa,MPa
1256.64,1912.64,88.76,0.0185017,0.269073,0.0373486,1453.3,54.2787
1256.64,1914.97,88.67,0.0185807,0.269577,0.0378759,1449.8,54.9127
1256.64,1917.29,89.55,0.018661,0.270091,0.0382347,1446.3,55.2988
1256.64,1919.62,90.49,0.0187443,0.27062,0.0386436,1442.67,55.7498
1256.64,1921.94,90.45,0.0188214,0.271107,0.0391475,1439.32,56.3457
1256.64,1924.27,90.13,0.0189112,0.271665,0.0397282,1435.4,57.0257
1256.64,1926.59,90.76,0.018995,0.272202,0.0401168,1431.87,57.4422
1256.64,1928.92,91.18,0.0190757,0.272713,0.040565,1428.46,57.9455
1256.64,1931.24,91.42,0.0191511,0.273181,0.040938,1425.25,58.347
1256.64,1933.57,91.8,0.0192064,0.273539,0.0412071,1423,58.6376
1256.64,1935.89,91.67,0.0192461,0.273795,0.0413169,1421.39,58.7274
1256.64,1938.22,90.99,0.0192923,0.274074,0.0415171,1419.42,58.9301
1256.64,1940.54,91,0.0193524,0.274453,0.0417736,1416.95,59.1912
1256.64,1942.87,91.78,0.0194273,0.274919,0.0421164,1413.86,59.5469
1256.64,1945.19,91.67,0.0195114,0.275428,0.0426781,1410.34,60.1906
1256.64,1947.52,90.8,0.0195833,0.275867,0.0432652,1407.37,60.8902
1256.64,1949.84,91.12,0.0196599,0.27634,0.0436155,1404.27,61.2479
1256.64,1952.17,91.53,0.0197463,0.276873,0.0439801,1400.8,61.6073
1256.64,1954.49,90.86,0.0198402,0.277459,0.044416,1397.09,62.0532
1256.64,1956.82,92.28,0.0199308,0.277985,0.0452399,1393.32,63.0339
1256.64,1959.14,92.86,0.0200166,0.278509,0.0457206,1389.93,63.5486
1256.64,1961.47,92.87,0.0201068,0.279059,0.0462332,1386.41,64.098
1256.64,1963.79,92.78,0.0202035,0.279631,0.0468931,1382.55,64.832
1256.64,1966.12,92.95,0.0203151,0.280292,0.0476428,1378.15,65.6591
1256.64,1968.44,93.29,0.020416,0.280896,0.0482644,1374.26,66.3278
1256.64,1970.77,93.16,0.0204875,0.281331,0.0487103,1371.56,66.809
1256.64,1973.09,92.34,0.020556,0.281742,0.0489368,1368.97,66.9932
1256.64,1975.42,92.38,0.0206428,0.282261,0.0495055,1365.69,67.6092
1256.64,1977.74,93.16,0.0207222,0.28272,0.0501327,1362.62,68.3121
1256.64,1980.07,93,0.0208128,0.283241,0.0508067,1359.15,69.0539
1256.64,1982.39,92.95,0.0208972,0.283739,0.0512835,1356,69.5406
1256.64,1984.72,92.19,0.020982,0.284245,0.0516064,1352.91,69.8189
1256.64,1987.04,91.93,0.0210898,0.284873,0.0522872,1348.92,70.5311
1256.64,1989.37,92.62,0.0211928,0.285452,0.0533723,1345.01,71.7863
1256.64,1991.69,92.64,0.0212826,0.285958,0.0540212,1341.67,72.4785
1256.64,1994.02,92.26,0.0213982,0.286634,0.0545901,1337.54,73.0162
